"","V1","V2","V3","V4","total"
"295",2020,3,20,"#corona",12336
"296",2020,3,21,"#covid19",263363
"297",2020,3,21,"#coronavirus",186579
"298",2020,3,21,"#coronaviruspandemic",15210
"299",2020,3,21,"#covid",13837
"300",2020,3,21,"#corona",13400
"301",2020,3,22,"#coronavirus",191789
"302",2020,3,22,"#covid19",178356
"303",2020,3,22,"#covid<u+30fc>19",50181
"304",2020,3,22,"#jantacurfew",27955
"305",2020,3,22,"#stayathome",20633
"306",2020,3,23,"#coronavirus",191728
"307",2020,3,23,"#covid19",163125
"308",2020,3,23,"#covid<u+30fc>19",66077
"309",2020,3,23,"#corona",13295
"310",2020,3,23,"#covid",11062
"311",2020,3,24,"#covid19",62402
"312",2020,3,24,"#coronavirus",49166
"313",2020,3,24,"#covid<u+30fc>19",26365
"314",2020,3,24,"#stayhome",6788
"315",2020,3,24,"#stayathome",5696
"316",2020,3,25,"#coronavirus",97135
"317",2020,3,25,"#covid19",83294
"318",2020,3,25,"#covid<u+30fc>19",13231
"319",2020,3,25,"#covid2019",9768
"320",2020,3,25,"#stayhome",9081
"321",2020,3,26,"#coronavirus",184003
"322",2020,3,26,"#covid19",169897
"323",2020,3,26,"#covid2019",30400
"324",2020,3,26,"#covid",15144
"325",2020,3,26,"#covid<u+30fc>19",13921
"326",2020,3,27,"#covid19",167066
"327",2020,3,27,"#coronavirus",160140
"328",2020,3,27,"#covid2019",19145
"329",2020,3,27,"#covid",14185
"330",2020,3,27,"#stayhome",11498
"331",2020,3,28,"#covid19",217907
"332",2020,3,28,"#coronavirus",186626
"333",2020,3,28,"#coronalockdown",12728
"334",2020,3,28,"#corona",12575
"335",2020,3,28,"#covid",12290
"336",2020,3,29,"#covid19",245027
"337",2020,3,29,"#coronavirus",183834
"338",2020,3,29,"#coronaupdate",13028
"339",2020,3,29,"#covid",12055
"340",2020,3,29,"#stayhome",11790
"341",2020,3,30,"#covid19",177116
"342",2020,3,30,"#coronavirus",137452
"343",2020,3,30,"#stayhome",12254
"344",2020,3,30,"#lockdown",11610
"345",2020,3,30,"#corona",9104
"346",2020,3,31,"#covid19",90794
"347",2020,3,31,"#coronavirus",50828
"348",2020,3,31,"#stayathome",9398
"349",2020,3,31,"#stayhome",6742
"350",2020,3,31,"#corona",6240
"351",2020,4,1,"#covid19",130667
"352",2020,4,1,"#coronavirus",116016
"353",2020,4,1,"#covid<u+30fc>19",37128
"354",2020,4,1,"#stayathome",10144
"355",2020,4,1,"#covid",9894
"356",2020,4,2,"#coronavirus",182185
"357",2020,4,2,"#covid19",166470
"358",2020,4,2,"#covid<u+30fc>19",42470
"359",2020,4,2,"#covid",15945
"360",2020,4,2,"#corona",13706
"361",2020,4,3,"#covid19",178027
"362",2020,4,3,"#coronavirus",162811
"363",2020,4,3,"#covid<u+30fc>19",25978
"364",2020,4,3,"#covid",14282
"365",2020,4,3,"#covid19pandemic",11957
"366",2020,4,4,"#covid19",195650
"367",2020,4,4,"#coronavirus",173367
"368",2020,4,4,"#covid2019",19947
"369",2020,4,4,"#stayhome",14382
"370",2020,4,4,"#covid",11761
"371",2020,4,5,"#covid19",197307
"372",2020,4,5,"#coronavirus",184632
"373",2020,4,5,"#covid2019",19169
"374",2020,4,5,"#stayhome",16028
"375",2020,4,5,"#covid",14110
"376",2020,4,6,"#covid19",267777
"377",2020,4,6,"#coronavirus",167608
"378",2020,4,6,"#covid",14230
"379",2020,4,6,"#stayhome",13949
"380",2020,4,6,"#hydroxychloroquine",12162
"381",2020,4,7,"#covid19",239124
"382",2020,4,7,"#coronavirus",166829
"383",2020,4,7,"#worldhealthday",25956
"384",2020,4,7,"#covid",14939
"385",2020,4,7,"#stayhome",13592
"386",2020,4,8,"#covid19",162393
"387",2020,4,8,"#coronavirus",120989
"388",2020,4,8,"#covid",18376
"389",2020,4,8,"#stayhome",17770
"390",2020,4,8,"#covid<u+30fc>19",14324
"391",2020,4,9,"#covid19",130251
"392",2020,4,9,"#coronavirus",101027
"393",2020,4,9,"#covid<u+30fc>19",28149
"394",2020,4,9,"#covid",18577
"395",2020,4,9,"#stayhome",16226
"396",2020,4,10,"#covid19",177394
"397",2020,4,10,"#coronavirus",173679
"398",2020,4,10,"#covid<u+30fc>19",43403
"399",2020,4,10,"#stayhome",22717
"400",2020,4,10,"#covid",19873
"401",2020,4,11,"#covid19",196069
"402",2020,4,11,"#coronavirus",161824
"403",2020,4,11,"#covid<u+30fc>19",38359
"404",2020,4,11,"#stayhome",26280
"405",2020,4,11,"#covid",17246
"406",2020,4,12,"#covid19",210992
"407",2020,4,12,"#coronavirus",153303
"408",2020,4,12,"#china",64030
"409",2020,4,12,"#stayhome",27671
"410",2020,4,12,"#nnevvy",18571
"411",2020,4,13,"#covid19",212093
"412",2020,4,13,"#coronavirus",161866
"413",2020,4,13,"#china",38949
"414",2020,4,13,"#stayhome",19846
