"","V4","total"
"909","@hrmoroz",13400
"910","@RepMattGaetz",13311
"911","@benjvmins",13299
"912","@thelastjaedi",13276
"913","@gussooficial",13265
"914","@spin9",13245
"915","@501Awani",13221
"916","@FirstGentleman",13213
"917","@derasachasauda",13053
"918","@repmariasalazar",12994
"919","@blooddonorsin",12914
"920","@t3rr3z",12850
"921","@mohdkhairul",12812
"922","@RepMaxineWaters",12684
"923","@bidenfinnegan",12539
"924","@SherriSantosMSN",12361
"925","@JoshuaPotash",12348
"926","@rachelkiki",12080
"927","@dylanthyme",12062
"928","@CMOyeks",11948
"929","@nigelfarage",11921
"930","@scenyor",11882
"931","@itsjoebro",11680
"932","@AfricaFactsZone",11555
"933","@nextgaara",11555
"934","@dobbyclub06",11523
"935","@cixdle",11398
"936","@bioleticia",11291
"937","@DrDzul",11284
"938","@bnonews",11194
"939","@robinwannabefly",11083
"940","@MyFavsTrash",11009
"941","@willtbh",10746
"942","@helpmeimskek",10720
"943","@ABC",10652
"944","@Pogllins",10620
"945","@shawnsbreathin",10547
"946","@possiblymadness",10347
"947","@ayoair",10214
"948","@DearDean22",10192
"949","@OfficiallyAlly",10177
"950","@5ecretnumber",10174
"951","@takterqyira",10083
"952","@antoniokeko9",10080
"953","@acaiijawe",9972
"954","@suthichai",9963
"955","@BolsonaroSP",9957
"956","@ieralee",9893
"957","@ol7nnon",9883
"958","@anthraxxxx",9876
"959","@felipeneto",9795
"960","@tastefullytayy",9651
"961","@NCStinn",9583
"962","@goodmiad",9529
"963","@YouTube",9474
"964","@sudarush",9428
"965","@betsyrodriguez",9397
"966","@NicholsUprising",9362
"967","@KHJEsq",9332
"968","@samanthariggs",9298
"969","@fAiDaRaveE",9213
"970","@Imamofpeace",9181
"971","@dglo4me",9131
"972","@SecPompeo",9121
"973","@PanamaRedin215",8985
"974","@globaltimesnews",8932
"975","@syazwanismd",8919
"976","@LBGEEVEE",8737
"977","@topazine",8686
"978","@WSJ",8677
"979","@AhlulQohwah",8671
"980","@ChinaDaily",8641
"981","@TheWorldIsY",8533
"982","@hels",8474
"983","@reuters",8396
"984","@tanawatofficial",8336
"985","@boom13003",8270
"986","@MoHFWINDIA",8040
"987","@TrumpWarRoom",7942
"988","@KarluskaP",7808
"989","@martineekag",7760
"990","@CorneliaLG",7741
"991","@PrinceHAK33M",7676
"992","@CNNIndonesia",7610
"993","@SJimons",7540
"994","@susyrug",7539
"995","@DrPaulGosar",7526
"996","@paulettasofia",7526
"997","@ronkelawal",7512
"998","@moodyknowsnada",7506
"999","@who",7442
"1000","@popplioikawa",7285
"1001","@Nazeefah",7126
"1002","@KemluRI",7120
"1003","@prismnolight",7110
"1004","@janyanis",7067
"1005","@business",7055
"1006","@inteldotwav",7033
"1007","@DeanHareethhh",6884
